Municipality,Latitude,Longitude
LAVENO-MOMBELLO,45.909499600000004,8.611986418683628
BRUSIMPIANO,45.9477557,8.8892162
LAVENA PONTE TRESA,45.95969065,8.861597042740161
GEMONIO,45.8792168,8.6753972
VARESE,45.839720299999996,8.754133838056571
MONVALLE,45.8569315,8.6337304
MALNATE,45.8000916,8.8781675
AZZATE,45.780222,8.7937693
GERMIGNAGA,45.993507,8.7241585
TRONZANO LAGO MAGGIORE,46.0891376,8.7338122
BESOZZO,45.8457972,8.6664953
CARAVATE,45.8778934,8.6519892
CUNARDO,45.937476,8.8012453
CASSANO VALCUVIA,45.932378,8.768429
GRANTOLA,45.949179,8.774329
TRAVEDONA-MONATE,45.80506565,8.67419949031834
BIANDRONNO,45.8215121,8.713238
CASTIGLIONE OLONA,45.7555563,8.8667637
MARCHIROLO,45.9499915,8.8323669
MORAZZONE,45.7649609,8.8315
SALTRIO,45.8739084,8.921668
BREZZO DI BEDERO,45.97769615,8.718691637857134
FERRERA DI VARESE,45.9345252,8.7858239
CASALZUIGNO,45.9044548,8.7060705
LEGGIUNO,45.875366,8.6204535
TAINO,45.7643442,8.6150606
CASTRONNO,45.7468305,8.8141625
RODERO,45.823977,8.915234
BISUSCHIO,45.8748731,8.871723
AZZIO,45.8847905,8.7091816
LUVINATE,45.8393069,8.7690932
GAVIRATE,45.8428264,8.7176706
GAZZADA SCHIANNO,45.78104255,8.832403768774729
CUASSO AL MONTE,45.9147729,8.8791395
CUVEGLIO,45.904349,8.7334826
MARZIO,45.938681,8.859197
CASTELVECCANA,45.9508626,8.6692725
CUVIO,45.8960048,8.7329793
LOZZA,45.775675,8.857734
MACCAGNO CON PINO E VEDDASCA,46.07368475,8.776408469052992
VALGANNA,45.9022199,8.8254492
MORNAGO,45.747541,8.752299
BINAGO,45.7844117,8.9221591
BODIO LOMNAGO,45.79122945,8.751004282625567
BUGUGGIATE,45.7859972,8.8049896
BEDERO VALCUVIA,45.9142712,8.7941977
DUMENZA,46.0191641,8.7871203
ISPRA,45.815457,8.6101375
ORINO,45.8816338,8.7151033
GORNATE OLONA,45.7395977,8.8597982
DAVERIO,45.7784026,8.7718279
SESTO CALENDE,45.7239553,8.6343618
CADREZZATE CON OSMATE,45.7899091,8.6492888
MASCIAGO PRIMO,45.917778,8.78113
MESENZANA,45.947817,8.7578345
BESANO,45.8890392,8.8903883
BRENTA,45.8931801,8.6851013
CAZZAGO BRABBIA,45.7976859,8.73319
INARZO,45.7853157,8.7344749
CARONNO VARESINO,45.7386359,8.8312264
LUINO,45.9989084,8.739907
CROSIO DELLA VALLE,45.759974,8.770432
RANCO,45.7975913,8.5711349
CANTELLO,45.8199458,8.8947116
GALLIATE LOMBARDO,45.7845815,8.7708941
COCQUIO-TREVISAGO,45.8634359,8.695665286208953
PORTO VALTRAVAGLIA,45.9613696,8.6818093
DUNO,45.9142022,8.7378781
ALBIZZATE,45.7239432,8.8031311
CASALE LITTA,45.7673316,8.7400873
BRUNELLO,45.7653708,8.7973652
SANGIANO,45.875076,8.633327
CASCIAGO,45.8354615,8.7811543
BARDELLO CON MALGESSO E BREGANO,45.8241002,8.6822323
MERCALLO,45.7498658,8.6695719
COMABBIO,45.7719597,8.6743917
CITTIGLIO,45.898911,8.6607384
VEDANO OLONA,45.7769157,8.8855964
BRINZIO,45.8891102,8.7904134
VARANO BORGHI,45.7746301,8.7036658
ARSAGO SEPRIO,45.6881584,8.7314516
CLIVIO,45.8642056,8.9293287
AGRA,27.1752554,78.0098161
SOLBIATE CON CAGNO,45.80044205,8.915405351288838
BRISSAGO-VALTRAVAGLIA,45.9485671,8.7472331
BESNATE,45.7001654,8.7683151
SUMIRAGO,45.7392252,8.7810037
BREBBIA,45.8285392,8.6500523
COMERIO,45.8396174,8.7464409
CUGLIATE-FABIASCO,45.94354415,8.818079449681923
VERGIATE,45.7248471,8.6940232
ANGERA,45.7721876,8.5751222
TERNATE,45.7822863,8.6903182
VIGGIÃ¹,45.8722383,8.9058625
ARCISATE,45.860392,8.8596177
MONTEGRINO VALTRAVAGLIA,45.9731305,8.7688797
CURIGLIA CON MONTEVIASCO,46.0593917,8.82649107287608
CASTELLO CABIAGLIO,45.8934053,8.7559697
INDUNO OLONA,45.8524484,8.839608
PORTO CERESIO,45.9027835,8.90423
CADEGLIANO-VICONAGO,45.96460035,8.830903416272994
RANCIO VALCUVIA,45.9160064,8.7710285
BARASSO,45.840476,8.756831
CREMENAGA,45.9889227,8.802184
